Plot,GS_Count,GS_Presence,Badger_Count,Badger_Presence,BRTE,POSE,NPG,EPG,TotalShrub,DispIndex_GS,Precip,STATSoil_PS,BurnFreq,Badg_Human,Badg_Grassland,GS_Human,GS_Grassland
407,40,1,4,1,NA,NA,NA,NA,NA,0.48,233.3549957,98.06,1,6.783919598,77.30318258,0,68.88217523
408,52,1,0,0,NA,NA,NA,NA,NA,0.089442719,220.4140015,98.06,1,0,47.79116466,0,17.32673267
409,38,1,1,1,NA,NA,NA,NA,NA,0.473761543,220.4140015,98.06,1,0,91.55405405,0,92.70833333
410,96,1,2,1,NA,NA,NA,NA,NA,0.2,233.3549957,98.06,0,0,56.73758865,0,76.78571429
412,81,1,5,1,NA,NA,NA,NA,NA,0.169774938,215.9309998,97.14,1,0,28.7694974,0,20
413,84,1,2,1,NA,NA,NA,NA,NA,0.23255107,215.9309998,98.06,1,0,20,0,22.03389831
414,67,1,0,0,NA,NA,NA,NA,NA,0.268700577,227.0679932,98.06,1,0,100,0,100
418,62,1,2,1,NA,NA,NA,NA,NA,0.32,233.3549957,98.06,1,0.564334086,58.50263356,1.036866359,28.68663594
419,37,1,2,1,NA,NA,NA,NA,NA,0.085,225.7749939,98.06,0,9.780775717,82.12478921,0.184842884,98.70609982
420,35,1,5,1,NA,NA,NA,NA,NA,0.072111026,229.9069977,98.06,0,46.95121951,39.02439024,0.215982721,90.71274298
423,49,1,0,0,NA,NA,NA,NA,NA,0.42,232.5610046,98.06,0,0,73.07692308,0,90.90909091
424,36,1,0,0,NA,NA,NA,NA,NA,0.245,232.5610046,98.06,0,0,81.81818182,0,88.67924528
425,26,1,0,0,NA,NA,NA,NA,NA,0.18,229.9069977,98.06,0,0,36,0,79.16666667
429,74,1,2,1,NA,NA,NA,NA,NA,0.245,232.5610046,98.06,0,0,48.33333333,0,46.31578947
430,36,1,0,0,NA,NA,NA,NA,NA,0.37,232.5610046,98.06,0,0,43.39622642,0,48
432,33,1,1,1,NA,NA,NA,NA,NA,0.116275535,229.9069977,98.06,0,0,89.47368421,0,73.07692308
